# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Thu Apr 25 18:51:06 2019
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN pl_discmethod:  Discovery Method
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [AU])
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [AU]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [AU]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_bmassj:      Planet Mass or M*sin(i) [Jupiter mass]
# COLUMN pl_bmassjerr1:  Planet Mass or M*sin(i) Upper Unc. [Jupiter mass]
# COLUMN pl_bmassjerr2:  Planet Mass or M*sin(i) Lower Unc. [Jupiter mass]
# COLUMN pl_bmassjlim:   Planet Mass or M*sin(i) Limit Flag
# COLUMN pl_radj:        Planet Radius [Jupiter radii]
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter radii]
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter radii]
# COLUMN pl_radjlim:     Planet Radius Limit Flag
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN pl_denserr1:    Planet Density Upper Unc. [g/cm**3]
# COLUMN pl_denserr2:    Planet Density Lower Unc. [g/cm**3]
# COLUMN pl_denslim:     Planet Density Limit Flag
# COLUMN st_teff:        Effective Temperature [K]
# COLUMN st_tefferr1:    Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Effective Temperature Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar radii]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar radii]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar radii]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_eqterr1:     Equilibrium Temperature Upper Unc. [K]
# COLUMN pl_eqterr2:     Equilibrium Temperature Lower Unc. [K]
# COLUMN pl_eqtlim:      Equilibrium Temperature Limit Flag
# COLUMN st_lum:         Stellar Luminosity [log(Solar)]
# COLUMN st_lumerr1:     Stellar Luminosity Upper Unc. [log(Solar)]
# COLUMN st_lumerr2:     Stellar Luminosity Lower Unc. [log(Solar)]
# COLUMN st_lumlim:      Stellar Luminosity Limit Flag
#
pl_name,pl_discmethod,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_mass,st_masserr1,st_masserr2,st_masslim,st_rad,st_raderr1,st_raderr2,st_radlim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,st_lum,st_lumerr1,st_lumerr2,st_lumlim
HD 16175 b,Radial Velocity,990.00000000,20.00000000,-20.00000000,0,2.120000,0.070000,-0.070000,0,0.600000,0.110000,-0.110000,0,5.10000,0.81000,-0.81000,0,,,,0,,,,0,5981.00,17.00,-17.00,0,1.63,0.14,-0.14,0,1.72,0.03,-0.03,0,,,,0,,,,0
HD 162020 b,Radial Velocity,8.42820000,0.00005600,-0.00005600,0,0.080000,0.000000,0.000000,0,0.280000,0.000000,0.000000,0,9.84000,2.75000,-2.75000,0,,,,0,,,,0,4723.00,71.00,-71.00,0,0.42,0.18,-0.18,0,0.75,0.03,-0.03,0,,,,0,,,,0
HD 163607 b,Radial Velocity,75.22030000,0.00940000,-0.00940000,0,0.362000,0.016000,-0.016000,0,0.744100,0.007100,-0.007100,0,0.78360,0.00980,-0.00980,0,,,,,,,,0,5522.00,,,0,1.12,,,0,1.76,,,0,,,,0,,,,0
HD 163607 c,Radial Velocity,1272.00000000,4.40000000,-4.40000000,0,2.390000,0.110000,-0.110000,0,0.080000,0.014000,-0.014000,0,2.20100,0.03700,-0.03700,0,,,,,,,,0,5522.00,,,0,1.12,,,0,1.76,,,0,,,,0,,,,0
HD 16417 b,Radial Velocity,17.24000000,0.01000000,-0.01000000,0,0.140000,0.010000,-0.010000,0,0.200000,0.090000,-0.090000,0,0.06960,0.00630,-0.00630,0,,,,0,,,,0,,,,,1.20,,,0,,,,,,,,0,,,,
HD 164509 b,Radial Velocity,280.17000000,0.82000000,-0.82000000,0,0.870000,0.051000,-0.051000,0,0.238000,0.062000,-0.062000,0,0.44300,0.08300,-0.08300,0,,,,0,,,,0,5859.00,,,0,1.12,0.19,-0.19,0,1.11,0.06,-0.06,0,,,,0,0.120,0.050,-0.050,0
HD 164595 b,Radial Velocity,40.00000000,0.24000000,-0.24000000,0,0.230000,,,0,0.088000,0.120000,-0.066000,0,0.05078,0.00856,-0.00856,0,,,,,,,,,5790.00,40.00,-40.00,0,0.99,0.03,-0.03,0,,,,,,,,,,,,
HD 164604 b,Radial Velocity,606.40000000,9.00000000,-9.00000000,0,1.300000,0.050000,-0.050000,0,0.240000,0.140000,-0.140000,0,2.70000,1.30000,-1.30000,0,,,,0,,,,0,,,,,0.80,,,0,,,,,,,,0,,,,
HD 164922 b,Radial Velocity,1155.00000000,23.00000000,-23.00000000,0,2.100000,0.040000,-0.040000,0,0.050000,0.090000,-0.090000,0,0.31000,0.05000,-0.05000,0,,,,0,,,,0,5372.00,12.00,-12.00,0,0.76,0.06,-0.06,0,0.97,0.01,-0.01,0,,,,0,,,,0
HD 164922 c,Radial Velocity,75.76500000,0.05800000,-0.05600000,0,0.335100,0.001500,-0.001500,0,0.220000,0.130000,-0.130000,0,0.04059,0.00503,-0.00503,0,,,,,,,,,5372.00,12.00,-12.00,0,0.76,0.06,-0.06,0,0.97,0.01,-0.01,0,401,4,-4,0,,,,0
HD 165155 b,Radial Velocity,434.50000000,2.10000000,-2.10000000,0,1.130000,0.040000,-0.040000,0,0.200000,0.030000,-0.030000,0,2.89000,0.23000,-0.23000,0,,,,,,,,,5426.00,100.00,-100.00,0,1.02,0.05,-0.05,0,0.95,0.11,-0.11,0,,,,,-0.155,0.047,-0.053,0
HD 1666 b,Radial Velocity,270.00000000,0.80000000,-0.90000000,0,0.940000,0.010000,-0.020000,0,0.630000,0.030000,-0.020000,0,6.43000,0.31000,-0.22000,0,,,,,,,,,6317.00,44.00,-44.00,0,1.50,0.07,-0.07,0,1.93,0.49,-0.49,0,,,,,0.730,0.086,-0.108,0
HD 166724 b,Radial Velocity,5144.00000000,705.00000000,-467.00000000,0,5.420000,0.430000,-0.430000,0,0.734000,0.020000,-0.020000,0,3.53000,0.11000,-0.11000,0,,,,,,,,,5127.00,52.00,-52.00,0,0.81,0.02,-0.02,0,,,,,,,,,-0.509,,,0
HD 167042 b,Radial Velocity,420.77000000,3.48000000,-3.11000000,0,1.320000,0.030000,-0.040000,0,0.089000,0.028000,-0.065000,0,1.70000,0.09000,-0.12000,0,,,,,,,,,4943.00,12.00,-12.00,0,1.50,0.20,-0.20,0,4.50,0.20,-0.20,0,,,,,1.000,,,0
HD 168443 b,Radial Velocity,58.11247000,0.00030000,-0.00030000,0,0.293100,0.001810,,0,0.528830,0.001030,-0.001030,0,7.65900,0.09750,-0.09750,0,,,,,,,,,5491.00,44.00,-44.00,0,0.99,0.02,-0.02,0,1.51,0.06,-0.06,0,,,,,,,,
HD 168443 c,Radial Velocity,1749.83000000,0.57000000,-0.57000000,0,2.837300,0.018000,-0.018000,0,0.211300,0.001710,-0.001710,0,17.19300,0.21000,-0.21000,0,,,,,,,,,5491.00,44.00,-44.00,0,0.99,0.02,-0.02,0,1.51,0.06,-0.06,0,,,,,,,,
HD 168746 b,Radial Velocity,6.40400000,0.00140000,-0.00140000,0,0.070000,0.000000,0.000000,0,0.110000,0.080000,-0.080000,0,0.27000,0.02000,-0.02000,0,,,,0,,,,0,5570.00,12.00,-12.00,0,1.07,0.06,-0.06,0,1.09,0.02,-0.02,0,,,,0,,,,0
HD 1690 b,Radial Velocity,533.00000000,1.70000000,-1.70000000,0,1.360000,0.090000,-0.090000,0,0.640000,0.040000,-0.040000,0,8.79000,3.63000,-3.63000,0,,,,0,,,,0,4374.00,31.00,-31.00,0,1.86,1.06,-1.06,0,21.66,6.18,-6.18,0,,,,0,,,,0
HD 169830 b,Radial Velocity,225.62000000,0.22000000,-0.22000000,0,0.810000,,,0,0.310000,0.010000,-0.010000,0,2.88000,,,0,,,,,,,,,6299.00,,,0,1.40,,,0,,,,,,,,,0.662,,,0
HD 169830 c,Radial Velocity,2102.00000000,264.00000000,-264.00000000,0,3.600000,,,0,0.330000,0.020000,-0.020000,0,4.04000,,,0,,,,,,,,,6299.00,,,0,1.40,,,0,,,,,,,,,0.662,,,0
HD 170469 b,Radial Velocity,1145.00000000,18.00000000,-18.00000000,0,2.240000,0.050000,-0.050000,0,0.110000,0.080000,-0.080000,0,0.66000,0.11000,-0.11000,0,,,,0,,,,0,5842.00,28.00,-28.00,0,1.10,0.08,-0.08,0,1.24,0.02,-0.02,0,,,,0,,,,0
HD 17092 b,Radial Velocity,359.89999000,2.40000000,-2.40000000,0,1.310000,0.060000,-0.060000,0,0.170000,0.050000,-0.050000,0,10.13000,2.29000,-2.29000,0,,,,0,,,,0,4326.00,148.00,-148.00,0,6.73,2.24,-2.24,0,13.58,1.27,-1.27,0,,,,0,,,,0
HD 171028 b,Radial Velocity,550.00000000,3.00000000,-3.00000000,0,1.320000,0.030000,-0.030000,0,0.590000,0.010000,-0.010000,0,2.62000,0.16000,-0.16000,0,,,,0,,,,0,5671.00,16.00,-16.00,0,1.53,0.13,-0.13,0,2.47,0.07,-0.07,0,,,,0,,,,0
HD 171238 b,Radial Velocity,1532.00000000,12.00000000,-12.00000000,0,2.570000,0.160000,-0.160000,0,0.234000,0.028000,-0.028000,0,2.72000,0.49000,-0.49000,0,,,,0,,,,0,5440.00,,,0,0.96,0.17,-0.17,0,1.01,0.07,-0.07,0,,,,0,-0.090,0.050,-0.050,0
HD 17156 b,Radial Velocity,21.21663000,0.00045000,-0.00045000,0,,,,0,0.680000,0.000000,0.000000,0,3.51000,0.21000,-0.21000,0,1.100,0.030,-0.030,0,,,,0,6040.00,24.00,-24.00,0,1.41,0.12,-0.12,0,1.55,0.04,-0.04,0,,,,0,,,,0
HD 173416 b,Radial Velocity,323.60000000,2.20000000,-2.20000000,0,1.160000,0.060000,-0.060000,0,0.210000,0.040000,-0.040000,0,2.70000,0.30000,-0.30000,0,,,,,,,,,4683.00,100.00,-100.00,0,2.00,0.30,-0.30,0,13.50,0.90,-0.90,0,,,,,1.892,0.052,-0.060,0
HD 175167 b,Radial Velocity,1290.00000000,22.00000000,-22.00000000,0,2.400000,0.050000,-0.050000,0,0.540000,0.090000,-0.090000,0,8.97000,3.32000,-3.32000,0,,,,0,,,,0,5635.00,28.00,-28.00,0,1.37,0.29,-0.29,0,1.75,0.04,-0.04,0,,,,0,,,,0
HD 175541 b,Radial Velocity,298.43000000,0.45000000,-0.45000000,0,0.975000,0.087000,-0.087000,0,0.110000,0.049000,-0.049000,0,0.59800,0.02900,-0.02900,0,,,,,,,,0,5013.00,,,0,1.39,,,0,4.19,,,0,,,,0,,,,0
HD 175607 b,Radial Velocity,29.01000000,0.02000000,-0.02000000,0,,,,,0.110000,0.090000,-0.070000,0,0.02825,0.00346,-0.00346,0,,,,,,,,,5392.00,17.00,-17.00,0,0.71,0.01,-0.01,0,0.70,0.01,-0.01,0,,,,,,,,
HD 17674 b,Radial Velocity,623.80000000,1.60000000,-1.50000000,0,1.420000,0.040000,-0.050000,0,0.130000,,,1,0.87000,0.07000,-0.06000,0,,,,,,,,,5904.00,22.00,-22.00,0,0.98,0.10,-0.10,0,1.18,0.10,-0.10,0,,,,,,,,
HD 176986 b,Radial Velocity,6.48980000,0.00086000,-0.00086000,0,0.062960,0.000130,-0.000130,0,0.066000,0.066000,-0.066000,0,0.01806,0.00208,-0.00208,0,,,,0,,,,0,4931.00,77.00,-77.00,0,0.79,0.02,-0.02,0,0.78,0.04,-0.04,0,,,,0,-0.480,0.034,-0.037,0
HD 176986 c,Radial Velocity,16.81910000,0.00440000,-0.00440000,0,0.118780,0.000250,-0.000250,0,0.111000,0.080000,-0.080000,0,0.02888,0.00305,-0.00305,0,,,,0,,,,0,4931.00,77.00,-77.00,0,0.79,0.02,-0.02,0,0.78,0.04,-0.04,0,,,,0,-0.480,0.034,-0.037,0
HD 177565 b,Radial Velocity,44.50500000,0.58600000,-0.29300000,0,0.246000,0.019000,-0.019000,0,0.059300,0.171700,-0.057450,0,0.04751,0.02014,-0.01904,0,,,,,,,,,,,,,1.00,0.10,-0.10,0,,,,,,,,,,,,
HD 177830 b,Radial Velocity,410.10001000,2.20000000,-2.20000000,0,1.140000,0.030000,-0.030000,0,0.100000,0.050000,-0.050000,0,1.69000,0.20000,-0.20000,0,,,,0,,,,0,4901.00,37.00,-37.00,0,1.70,0.28,-0.28,0,3.26,0.12,-0.12,0,,,,0,,,,0
HD 177830 c,Radial Velocity,110.90000000,0.10000000,-0.10000000,0,0.513700,0.000300,-0.000300,0,0.300000,0.100000,-0.100000,0,0.15000,0.02000,-0.02000,0,,,,0,,,,0,4901.00,37.00,-37.00,0,1.70,0.28,-0.28,0,3.26,0.12,-0.12,0,,,,0,,,,0
HD 178911 B b,Radial Velocity,71.48400000,0.02000000,-0.02000000,0,0.340000,0.010000,-0.010000,0,0.110000,0.000000,0.000000,0,8.03000,2.51000,-2.51000,0,,,,0,,,,0,5588.00,115.00,-115.00,0,1.24,0.58,-0.58,0,1.08,0.05,-0.05,0,,,,0,,,,0
HD 179079 b,Radial Velocity,14.47900000,0.01000000,-0.01000000,0,0.121400,0.006800,-0.006800,0,0.049000,0.087000,-0.087000,0,0.08100,0.02000,-0.02000,0,,,,0,,,,0,5646.00,,,0,1.14,0.19,-0.19,0,1.63,0.09,-0.09,0,,,,0,0.380,0.050,-0.050,0
HD 179949 b,Radial Velocity,3.09251400,0.00003200,-0.00003200,0,0.044300,0.002600,-0.002600,0,0.022000,0.015000,-0.015000,0,0.91600,0.07600,-0.07600,0,,,,,,,,,6168.00,,,0,1.21,,,0,,,,,,,,,,,,
HD 180053 b,Radial Velocity,213.72000000,0.47000000,-0.47000000,0,0.843000,0.063000,-0.063000,0,0.081000,0.029000,-0.029000,0,2.19400,0.06400,-0.06400,0,,,,,,,,0,5131.00,,,0,1.75,,,0,4.06,,,0,,,,0,,,,0
HD 18015 b,Radial Velocity,2278.00000000,71.00000000,-71.00000000,0,3.870000,0.320000,-0.320000,0,0.148000,0.061000,-0.061000,0,3.18000,0.23000,-0.23000,0,,,,,,,,0,5603.00,,,0,1.49,,,0,3.13,,,0,,,,0,,,,0
HD 180314 b,Radial Velocity,396.03000000,0.62000000,-0.62000000,0,1.460000,0.060000,-0.060000,0,0.260000,0.010000,-0.010000,0,20.13000,1.66000,-1.66000,0,,,,0,,,,0,4924.00,25.00,-25.00,0,2.20,0.27,-0.27,0,8.13,0.30,-0.30,0,,,,0,,,,0
HD 180902 b,Radial Velocity,510.90000000,1.50000000,-1.50000000,0,1.400000,0.110000,-0.110000,0,0.107000,0.022000,-0.022000,0,1.68500,0.04100,-0.04100,0,,,,,,,,0,4961.00,,,0,1.41,,,0,4.16,,,0,,,,0,,,,0
HD 181234 b,Radial Velocity,7462.05750000,80.35500000,-76.70250000,0,7.520000,0.160000,-0.160000,0,0.730000,0.010000,-0.010000,0,8.37000,0.34000,-0.36000,0,,,,0,,,,0,5386.00,60.00,-60.00,0,1.01,0.06,-0.06,0,1.05,0.07,-0.07,0,,,,0,,,,0
HD 181342 b,Radial Velocity,564.10000000,4.10000000,-4.10000000,0,1.592000,0.091000,-0.091000,0,0.022000,0.051000,-0.051000,0,2.54000,0.19000,-0.19000,0,,,,,,,,0,4945.00,,,0,1.69,,,0,4.71,,,0,,,,0,,,,0
HD 181433 b,Radial Velocity,9.37430000,0.00190000,-0.00190000,0,0.080000,0.000000,0.000000,0,0.400000,0.060000,-0.060000,0,0.02000,0.00000,0.00000,0,,,,0,,,,0,4918.00,15.00,-15.00,0,0.63,0.07,-0.07,0,0.79,0.01,-0.01,0,,,,0,,,,0
HD 181433 c,Radial Velocity,962.00000000,15.00000000,-15.00000000,0,1.760000,,,0,0.280000,0.020000,-0.020000,0,0.64000,,,0,,,,,,,,,4918.00,15.00,-15.00,0,0.63,0.07,-0.07,0,0.79,0.01,-0.01,0,,,,,,,,0
HD 181433 d,Radial Velocity,2172.00000000,158.00000000,-158.00000000,0,3.000000,,,0,0.480000,0.050000,-0.050000,0,0.54000,,,0,,,,,,,,,4918.00,15.00,-15.00,0,0.63,0.07,-0.07,0,0.79,0.01,-0.01,0,,,,,,,,0
HD 181720 b,Radial Velocity,956.00000000,14.00000000,-14.00000000,0,1.850000,0.040000,-0.040000,0,0.260000,0.060000,-0.060000,0,0.40000,0.06000,-0.06000,0,,,,0,,,,0,5736.00,37.00,-37.00,0,1.03,0.20,-0.20,0,1.50,0.07,-0.07,0,,,,0,,,,0
HD 183263 b,Radial Velocity,626.51599000,1.10000000,-1.10000000,0,1.490000,0.020000,-0.020000,0,0.360000,0.010000,-0.010000,0,3.95000,0.22000,-0.22000,0,,,,0,,,,0,5948.00,27.00,-27.00,0,1.31,0.07,-0.07,0,1.23,0.02,-0.02,0,,,,0,,,,0
HD 183263 c,Radial Velocity,3070.00000000,110.00000000,-110.00000000,0,4.350000,0.280000,-0.280000,0,0.239000,0.064000,-0.064000,0,3.57000,0.55000,-0.55000,0,,,,,,,,,5948.00,27.00,-27.00,0,1.31,0.07,-0.07,0,1.23,0.02,-0.02,0,,,,,,,,0
HD 185269 b,Radial Velocity,6.83776000,0.00027000,-0.00027000,0,0.077000,0.003400,-0.003400,0,0.229000,0.014000,-0.014000,0,1.01000,0.01400,-0.01400,0,,,,,,,,0,5923.00,,,0,1.30,,,0,2.00,,,0,,,,0,,,,0
HD 187085 b,Radial Velocity,986.00000000,,,0,2.050000,,,0,0.470000,,,0,0.75000,,,0,,,,,,,,,6075.00,30.00,-30.00,0,1.22,0.10,-0.06,0,,,,,,,,,2.130,0.550,-0.440,0
HD 187123 b,Radial Velocity,3.09658280,0.00000780,-0.00000780,0,0.042600,0.002500,-0.002500,0,0.010300,0.005900,-0.005900,0,0.52300,0.04300,-0.04300,0,,,,,,,,,5830.00,40.00,-40.00,0,1.00,0.10,-0.10,0,,,,,,,,,0.130,,,0
HD 187123 c,Radial Velocity,3810.00000000,420.00000000,-420.00000000,0,4.890000,0.530000,-0.530000,0,0.252000,0.033000,-0.033000,0,1.99000,0.25000,-0.25000,0,,,,,,,,,5830.00,40.00,-40.00,0,1.00,0.10,-0.10,0,,,,,,,,,0.130,,,0
HD 18742 b,Radial Velocity,766.00000000,25.00000000,-25.00000000,0,1.820000,0.140000,-0.140000,0,0.040000,0.035000,-0.035000,0,3.40000,1.20000,-1.20000,0,,,,,,,,0,4940.00,,,0,1.36,,,0,5.13,,,0,,,,0,,,,0
HD 188015 b,Radial Velocity,461.20000000,1.70000000,-1.70000000,0,1.203000,0.070000,-0.070000,0,0.137000,0.026000,-0.026000,0,1.50000,0.13000,-0.13000,0,,,,,,,,,5746.00,,,0,1.09,,,0,,,,,,,,,,,,
HD 189733 b,Radial Velocity,2.21857567,0.00000015,-0.00000015,0,,,,0,0.000000,,,0,1.13000,0.08000,-0.08000,0,1.130,0.010,-0.010,0,,,,0,5052.00,16.00,-16.00,0,0.79,0.08,-0.08,0,0.75,0.01,-0.01,0,,,,0,,,,0
HD 190360 b,Radial Velocity,2915.03687000,29.00000000,-29.00000000,0,3.970000,0.070000,-0.070000,0,0.310000,0.020000,-0.020000,0,1.54000,0.08000,-0.08000,0,,,,0,,,,0,5552.00,11.00,-11.00,0,0.99,0.08,-0.08,0,1.14,0.02,-0.02,0,,,,0,,,,0
HD 190360 c,Radial Velocity,17.11100000,0.00480000,-0.00480000,0,0.130400,0.007500,-0.007500,0,0.237000,0.082000,-0.082000,0,0.06000,0.00760,-0.00760,0,,,,,,,,,5552.00,11.00,-11.00,0,0.99,0.08,-0.08,0,1.14,0.02,-0.02,0,,,,,,,,0
HD 190647 b,Radial Velocity,1038.09998000,5.10000000,-5.10000000,0,2.070000,0.060000,-0.060000,0,0.180000,0.020000,-0.020000,0,1.94000,0.08000,-0.08000,0,,,,0,,,,0,5640.00,8.00,-8.00,0,1.14,0.04,-0.04,0,1.45,0.02,-0.02,0,,,,0,,,,0
HD 190984 b,Radial Velocity,4885.00000000,1600.00000000,-1600.00000000,0,5.500000,,,0,0.570000,0.100000,-0.100000,0,3.10000,,,0,,,,,,,,,5988.00,25.00,-25.00,0,0.91,,,0,1.53,,,0,,,,,0.430,,,0
HD 191806 b,Radial Velocity,1606.30000000,7.20000000,-7.20000000,0,2.800000,0.100000,-0.100000,0,0.259000,0.017000,-0.017000,0,8.52000,0.63000,-0.63000,0,,,,,,,,,6010.00,30.00,-30.00,0,1.14,0.12,-0.12,0,,,,,,,,,0.348,0.030,-0.032,0
HD 192263 b,Radial Velocity,24.35560000,0.00460000,-0.00460000,0,0.150000,0.000000,0.000000,0,0.050000,0.040000,-0.040000,0,0.56000,0.05000,-0.05000,0,,,,0,,,,0,4976.00,18.00,-18.00,0,0.66,0.08,-0.08,0,0.74,0.01,-0.01,0,,,,0,,,,0
HD 192310 b,Radial Velocity,74.72000000,0.10000000,-0.10000000,0,0.320000,0.005000,-0.005000,0,0.130000,0.040000,-0.040000,0,0.05320,0.00280,-0.00280,0,,,,,,,,,5166.00,49.00,-49.00,0,0.80,,,0,,,,,355,,,0,-0.415,0.008,-0.008,0
HD 192310 c,Radial Velocity,525.80000000,9.20000000,-9.20000000,0,1.180000,0.025000,-0.025000,0,0.320000,0.110000,-0.110000,0,0.07600,0.01600,-0.01600,0,,,,,,,,,5166.00,49.00,-49.00,0,0.80,,,0,,,,,185,,,0,-0.415,0.008,-0.008,0
HD 192699 b,Radial Velocity,340.94000000,0.92000000,-0.92000000,0,1.063000,0.049000,-0.049000,0,0.082000,0.041000,-0.041000,0,2.09600,0.09300,-0.09300,0,,,,,,,,0,5041.00,,,0,1.38,,,0,4.41,,,0,,,,0,,,,0
HD 195019 b,Radial Velocity,18.20132000,0.00039000,-0.00039000,0,0.140000,0.000000,0.000000,0,0.010000,0.000000,0.000000,0,3.98000,0.17000,-0.17000,0,,,,0,,,,0,5751.00,21.00,-21.00,0,1.21,0.08,-0.08,0,1.48,0.03,-0.03,0,,,,0,,,,0
HD 196050 b,Radial Velocity,1378.00000000,21.00000000,-21.00000000,0,2.510000,0.050000,-0.050000,0,0.230000,0.040000,-0.040000,0,3.18000,0.30000,-0.30000,0,,,,0,,,,0,5879.00,28.00,-28.00,0,1.31,0.17,-0.17,0,1.42,0.03,-0.03,0,,,,0,,,,0
HD 196067 b,Radial Velocity,3638.00000000,232.00000000,-185.00000000,0,5.020000,0.190000,-0.190000,0,0.660000,0.180000,-0.090000,0,6.90000,3.90000,-1.10000,0,,,,,,,,,6017.00,46.00,-46.00,0,1.29,0.08,-0.08,0,1.73,0.21,-0.21,0,,,,,0.572,,,0
HD 196885 b,Radial Velocity,1333.00000000,15.00000000,-15.00000000,0,2.370000,0.020000,-0.020000,0,0.480000,0.060000,-0.060000,0,2.58000,0.16000,-0.16000,0,,,,,,,,,6254.00,44.00,-44.00,0,1.28,0.05,-0.05,0,1.31,0.05,-0.05,0,,,,,0.380,0.030,-0.030,0
HD 197037 b,Radial Velocity,1035.70000000,13.00000000,-13.00000000,0,2.070000,0.050000,-0.050000,0,0.220000,0.070000,-0.070000,0,0.79000,0.05000,-0.05000,0,,,,0,,,,0,6150.00,100.00,-100.00,0,1.11,,,0,,,,0,,,,0,,,,0
HD 19994 b,Radial Velocity,466.20000000,1.70000000,-1.70000000,0,1.305000,0.016000,-0.016000,0,0.063000,0.062000,-0.062000,0,1.37000,0.12000,-0.12000,0,,,,,,,,,6188.00,44.00,-44.00,0,1.36,0.04,-0.04,0,,,,,,,,,,,,
HD 20003 b,Radial Velocity,11.84820000,0.00160000,-0.00170000,0,0.097400,0.003400,-0.003900,0,0.360000,0.050000,-0.050000,0,0.03670,0.00330,-0.00330,0,,,,0,,,,0,5494.00,27.00,-27.00,0,0.88,,,0,,,,0,,,,0,-0.143,0.018,-0.018,0
HD 20003 c,Radial Velocity,33.92390000,0.02390000,-0.02660000,0,0.196400,0.006800,-0.007800,0,0.100000,0.080000,-0.070000,0,0.04540,0.00460,-0.00440,0,,,,0,,,,0,5494.00,27.00,-27.00,0,0.88,,,0,,,,0,,,,0,-0.143,0.018,-0.018,0
HD 200964 b,Radial Velocity,606.30000000,3.80000000,-3.80000000,0,1.565000,0.083000,-0.083000,0,0.087000,0.035000,-0.035000,0,1.59900,0.06700,-0.06700,0,,,,,,,,0,4982.00,,,0,1.39,,,0,4.92,,,0,,,,0,,,,0
HD 200964 c,Radial Velocity,852.50000000,7.10000000,-7.10000000,0,1.960000,0.100000,-0.100000,0,0.243000,0.047000,-0.047000,0,1.21400,0.07200,-0.07200,0,,,,,,,,0,4982.00,,,0,1.39,,,0,4.92,,,0,,,,0,,,,0
HD 202206 c,Radial Velocity,1260.00000000,11.00000000,-11.00000000,0,2.410000,,,0,0.220000,0.030000,-0.030000,0,17.90000,2.90000,-1.80000,0,,,,0,,,,0,5760.00,12.00,-12.00,0,1.27,0.12,-0.12,0,1.03,0.02,-0.02,0,,,,0,,,,0
HD 202696 b,Radial Velocity,517.80000000,8.90000000,-3.90000000,0,1.566000,0.016000,-0.007000,0,0.011000,0.078000,-0.011000,0,1.99600,0.22000,-0.10000,-1,,,,0,,,,0,5040.00,71.00,-85.00,0,1.91,0.09,-0.14,0,6.43,0.41,-0.39,0,,,,0,1.369,0.042,-0.039,0
HD 202696 c,Radial Velocity,946.60000000,20.70000000,-20.90000000,0,2.342000,0.034000,-0.035000,0,0.028000,0.065000,-0.012000,0,1.86400,0.17700,-0.22700,-1,,,,0,,,,0,5040.00,71.00,-85.00,0,1.91,0.09,-0.14,0,6.43,0.41,-0.39,0,,,,0,1.369,0.042,-0.039,0
HD 202772 A b,Transit,3.30895800,0.00008300,-0.00008300,0,0.052080,0.000640,-0.000680,0,0.038000,0.042000,-0.027000,0,1.01700,0.07000,-0.06800,0,1.545,0.052,-0.060,0,0.34300,0.04300,-0.03500,0,6272.00,77.00,-71.00,0,1.72,0.06,-0.07,0,2.59,0.08,-0.09,0,2132,28,-30,0,0.971,0.024,-0.028,0
HD 203030 b,Imaging,,,,,487.100000,1.800000,-1.800000,0,,,,,24.09000,8.37900,-11.52100,0,,,,,,,,,,,,,,,,,,,,,1206,74,-116,0,,,,
